Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DWDP,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM,DJI
2010-01-04,27.503267796595,36.309611885161,45.87736153507301,46.795024828155,20.40319987334,59.405950229025,28.960650913333996,,12.005225230841999,156.42220427716998,23.892220675763003,108.07098472888,16.019937271337,50.551298476651,35.57150956009,22.559237941585998,49.240414682243006,68.346207158625,27.908550596012997,25.153471828922,14.751122374992,14.063358719844999,47.474231053640004,,28.063718085429997,59.603563443395004,20.802686143956002,21.35604840330605,44.428303492259,54.558817494325,10584.0
2010-01-05,27.550817953526,36.229752034974,47.37993086979299,47.354487123282006,20.312298618335,59.82673611478501,28.888407318914,,12.067388209383,159.18769968443002,24.067224733729997,106.76548396959998,16.012264887586,49.965128503592,36.260525964638,22.286343934228,48.863934926788,67.91811720774,28.021662797834,25.161598960369002,14.809810849628,13.862771986916,47.489765815111,,28.019214885167,58.713212851681995,20.564307280722,21.08653096552395,43.985904748283005,54.771845415127004,10572.0
2010-01-06,27.112585426138,36.815390936348,48.817171103003,47.498348856315005,20.180078611056,59.83425014846,28.734889680770003,,12.005225230841999,157.48863714664,23.983889468031002,106.07193669123001,15.958558201332,50.371539684912996,36.459759623783995,22.278433963001,48.197252026503,68.881319597231,28.398703470570997,25.007183462873,14.719520888649,13.818197157376002,47.264511773790005,,28.295134726794,58.405334609688,20.288165429254,20.788136659408046,43.887593916288004,55.24524079468701,10574.0
2010-01-07,27.062464990454,37.409903154409,50.793376423666004,47.690164500358,20.27097986606,59.608829138231,28.743920130073,,12.626855016257,160.57044738806002,24.267229371406003,105.70476460269,15.805110526319,50.012022101436,37.181981638189,22.223064164406,48.550201797242,68.930714591564,28.4439483513,24.748740682854,14.863984826215999,13.766193189579,47.008188209527,,29.381012813195,58.654965616709994,20.476980370429,20.66439775072109,43.912171624287005,55.071662488849,10607.0
2010-01-08,27.242384503165002,37.383169064494,50.303408162345,48.22564983998,20.378408621975,59.714025609671005,28.789072376585,,12.898818047377,157.53382498008997,24.150559999428,106.76548396959998,15.981575352583,50.183965293534,37.090666211081,21.811745660562,48.503141827810005,69.416432035838,28.42886672439,24.917785016954998,14.834640588896999,13.877630263429001,46.946049163646,,29.105092971568,58.771460086653995,20.533624852781,20.67742289900393,43.690972252299005,54.850744645054,10618.0
2010-01-11,27.002063439758,36.955423625853,49.707280111070006,51.25473855217,20.32056236879,60.773504357747,28.319489012852003,,13.02314400446,155.04849414024,23.467210820701,105.64764894446999,16.073643957591,50.191780893175,36.966145174114,22.254704049317002,48.879621583265,69.13652706795101,28.541978926210998,24.600826890516,14.651803417914,13.989067337279,46.759632026000006,,29.300907052722998,60.044578222468004,20.474620183664,20.762086362842368,44.411918353592995,55.466158638482,10664.0
2010-01-12,26.694915128772998,37.445548607629,49.347970052768,49.744190355326005,19.998276101046,60.420344775055,27.831844750513,,13.030914376778,151.66844419803002,23.317207342442998,106.48806505825,15.811248433319,50.457511280962,36.102799317813,22.495958171764002,49.146294743379,69.19415456134,28.315754522568998,24.438284261573,14.631488176693999,13.944492507739,47.295581296730006,,28.526551368158003,59.695094812636995,20.377852526312,20.781624085266625,44.837931958904,55.190011333739,10627.0
2010-01-13,27.071460966089997,37.561396330594,49.944098104042,49.816121221842,20.361881121065,59.961988720923,28.256275867733997,,13.077536610684,152.79814003433,23.442210240991002,106.25960242538,16.081316341342,50.777950866234,36.73370590511,22.555282955972,49.091391445709,68.971877086842,29.356386779324,24.665843942093,14.762408620114,14.271374591032,47.784926283049,,28.962682730728996,60.377419565165006,20.566667467486997,20.75557378870095,45.067323900224,54.969093489944,10681.0
2010-01-14,26.914673962156,38.033698585759,50.27074361159001,49.536390074279005,20.618057385169,59.774137879065,28.012453736565,,12.976521770554,152.31011143305,23.583880192679,107.95675341244,16.480280296375,50.879553661563996,37.098967613545,22.594832812111,49.138451415141,68.741367113288,30.155713005527,25.161598960369002,14.669861410110002,14.397669941395,47.83153056745999,,29.656932654821,60.585445404350004,20.637473070428,20.332256469508746,44.411918353592995,54.976983412937,10711.0
2010-01-15,26.464875180379,37.775269049913994,49.666449422627004,48.385496210017,20.163551110146,59.533688801488,27.633174865857,,12.774492090294,149.30963929183997,23.808885410064,107.52430628593001,15.958558201332,50.457511280962,36.260525964638,22.262614020545,48.848248270311004,68.634344625567,29.76359070588,25.080327645898,14.534426468641,14.479390462218001,47.241209631584,,30.039660177076996,59.90312065182201,20.330648791018,19.91545172445796,43.97771217895001,54.527257802354,10610.0
2010-01-19,27.635637152376,38.283216758299,49.527625081919005,49.037396608056,20.53541988062,59.871820316831,28.003423287262002,,12.852195813469999,150.80083779575,24.067224733729997,109.44991990586,16.150367795098,51.074943652584,35.92846986606,22.314028833525,49.789447658949,70.075031960277,30.630784253176,25.275378800629,14.606658437425,14.858276513306999,47.598509145403995,,31.267948504318,60.152751658845,20.734240727779998,20.338769043650164,44.264452105600995,54.653496570236996,10725.0
2010-01-20,27.209613449064,38.301039484909,49.160148885928,48.095762699777005,20.171814860601,58.722173164663,28.165971374708,,12.821114324200002,151.64133149796,23.883887149193,106.27592118487,16.173384946349,50.918631659767996,36.028086695633,21.950170157048003,49.420811231731996,69.745731998057,30.939957604820002,24.856831531100998,14.487024239126999,14.813701683766999,47.295581296730006,,30.751711381275,59.437142772047004,20.632752696898,20.000115188296398,44.12517842694199,53.67514611914601,10603.0
